api_nro,tipo,institucion,localidad,provincia,domicilio,cp,telefono,email,lat,lon
1,CDR,Centro de Referencia,Junín,Buenos Aires,Jean Jaures 347,B6000GVB,(0236) 4435360 / 4444336 / 4447084,cdrjunin@gmail.com,-34.57945,-60.946267
2,CDR,Centro de Referencia,Olavarría,Buenos Aires,Moreno 2517,B7400CYE,(02284) 431777 / 423180,cdrolavarria@hotmail.com,-36.891703,-60.314598
3,CDR,Centro de Referencia,Mercedes,Buenos Aires,Calle 30 Nº 664 entre 27 y 29,B6600DTI,(02324) 425877,cdrmercedes@gmail.com,-34.648777,-59.430821
4,CDR,Centro de Referencia,Dolores,Buenos Aires,San Martín 671,B7100BZM,(02245) 443996 / 444014,cdrdolores@live.com,-36.313742,-57.676506
5,CDR,Centro de Referencia,General Villegas,Buenos Aires,Alte Brown 524,B6230ANB,(03388) 424020,cdr_villegas@gmail.com / cdrvillegas@gmail.com / cdr_villegas@hotmail.com,-35.03265,-63.0175781
6,CDR,Centro de Referencia,Tandil,Buenos Aires,Alem 781,B7000ATO,(0249) 4453864 / 4453537 / 4451055,cdrtandil@yahoo.com.ar / cdrtandil@hotmail.com,-37.323149,-59.135208
7,CDR,Centro de Referencia,Pergamino,Buenos Aires,9 de Julio 850,B2700KUR,(02477) 420592 / 420286,desarrollosocialpergamino@live.com,-33.896159,-60.575988
8,CDR,Centro de Referencia,Trenque Lauquen,Buenos Aires,Villegas 334,B6400BAB,(02392) 424356,cdr.trenquelauquen@gmail.com,-35.971421,-62.734789
9,CDR,Centro de Referencia,Tres Arroyos,Buenos Aires,Dorrego 361,B7500FZG,(02983) 421131,cdr.tresarroyos@gmail.com,-38.3827227,-60.2762215
10,CDR,Centro de Referencia,Trelew,Chubut,Pasaje Catamarca 235,U9100HLA,(0280) 434216 / 426421 / 439277,articuladorachubut@yahoo.com.ar,-43.252037,-65.3105
11,CDR,Centro de Referencia,Santa Rosa,La Pampa,Emilio Civit 210,L6304BWD,(02954) 424135 / 428228 / 428861,crdslapampa@yahoo.com.ar,-36.626249,-64.284909
12,CDR,Centro de Referencia,Neuquén,Neuquén,Entre Ríos 410 esq. Alderete,Q8300BXJ,(0299) 4423828 / 4436121 / 4484210,crmdsneuquen@yahoo.com.ar,-38.950807,-68.050662
13,CDR,Centro de Referencia,Bariloche,Río Negro,Elflein 978,R8400AUT ,(0294) 4437382 / 4431767 / 4429020,centrodereferenciabariloche@yahoo.com.ar,-41.137125,-71.296393
14,CDR,Centro de Referencia,Viedma,Río Negro,San Luis 774,R8500FQN,(02920) 421962,cdrviedma_@hotmail.com,-40.8192695,-62.9900552
15,CDR,Centro de Referencia,General Roca,Río Negro,Villegas 1274,R8332HAZ,(0298) 424949 / 4435637 / 4428637,centrodereferencia_valle1@yahoo.com.ar,-39.026752,-67.575172
16,CDR,Centro de Referencia,Río Gallegos,Santa Cruz,Urquiza 23,Z9400BGA,(02966) 427997 / 432679,cdrsantacruz@hotmail.com,-51.6234587,-69.2199449
17,CDR,Centro de Referencia,Caleta Olivia,Santa Cruz,Deocarets y San Martín S/N - 2º piso,Z9011ZAA,(0297) 4655848 / 4852627,centrodereferenciascn@yahoo.com.ar / calcaletaolivia@hotmail.com,-46.435505,-67.520041
18,CDR,Centro de Referencia,Ushuaia,Tierra del Fuego,Intevu 14 Casa 45,V9410ZAA,(02901) 434439 /  436803  ,cdrtdf@yahoo.com.ar,-54.791679,-68.229248
19,IM,Artistas Unidos Azuleños AUA,Azul,Buenos Aires,Burgos  827,B7300GEQ,(02281) 431000,rendicionauazul@hotmail.com,-36.774967,-59.854038
20,IM,Asociación Civil 20 de Noviembre,Berazategui,Buenos Aires,Calle 136 Nº 1303,B1884LBA,,asociacion20denoviembre@yahoo.com.ar,-34.7736796458,-58.2181191444
21,IM,Asociación Civil AYUDA SOLIDARIA,Tandil,Buenos Aires,Fuerte Independencia  357,B7000AMG,(0249) 4430760 / 4426724,ayudastandil@yahoo.com.ar,-37.329933,-59.136268
22,IM,Asociación Civil CAMINOS,Azul,Buenos Aires,Ecuador 143,B7300HMC,(02281) 434606,asociacioncivilcaminos@yahoo.com.ar,-36.774967,-59.854038
23,IM,Asociación Civil Cirujas,González Catán,Buenos Aires,Juan Bautista de Lasalle  2570,B1759LZN,(011) 4672-3845,tamu892002@yahoo.com.ar,-34.768509,-58.653258
24,IM,Asociación Civil Emprendedor Grupo Puntaltense - E.GRU.PA. OR,Punta Alta,Buenos Aires,Murature 270,B8109CMF,(0381) 4320462 / 4328682,fia_1959@yahoo.com.ar,-38.87606,-62.074089
25,IM,Asociación Civil en la Esquina,Tolosa,Buenos Aires,Calle 2 S/N,B1904CYT,(0388) 4225342 / 4244894 / 4236105,banquitoesquina@gmail.com,-34.894123,-57.965733
26,CAF,Universidad Nacional de La Plata - Facultad de Humanidades y Ciencias de la Educación - Depto de Educación FIsica,La Plata,Buenos Aires,Calle 48 entre 6 y 7  4º piso of. 418,B1900AMR,(0385) 4226987 / 4222609 /  4223478 (fax),deptoef@fahce.unlp.edu.ar,-34.92442413,-57.95442336
27,CAF,Instituto Educativo CESALP,La Plata,Buenos Aires,Calle 58 Nº 480 e/ 4 y 5,B1900BPT,(0266) 4446750 / 4439049 / 4441893,instituto@cesalp.com.ar,-34.92442413,-57.95442336
28,CAF,Universidad Católica de La Plata,La Plata,Buenos Aires,Calle 13 Nº 1227,B1900DTG,(0264) 4273402 / 4277138 / 4217468,humanidadessecretaria@ucalp.edu.ar,-34.92442413,-57.95442336
29,CAF,Universidad Nacional de Lanús,Lanús,Buenos Aires,29 de setiembre Nº 3901,B1826GLC,,metkin@unla.edu.ar,-34.73534,-58.3901836
30,CAF,"Instituto ""Nuestra Señora""",Lincoln,Buenos Aires,Moreno Nº 127,B6070CNC,(0261) 4230998 / 4230964,directivosnotre@hotmail.com,-34.87140002,-61.52914128
31,CAF,Instituto Superior de Formación Docente y Técnica Nº 43,Lobos,Buenos Aires,Santamarina Nº 183,B7240ZAA,(0380) 4429619 / 4434227,is43lobos@snap-isp.com.ar,-35.1841501,-59.0969042
32,CAF,Colegio Modelo Lomas,Lomas de Zamora,Buenos Aires,Belgrano Nº 55,B1832AJA,(0351) 4220542 / 4271628 / 4290778,info@modelo-lomas.com,-34.7620628,-58.3949991
33,CAF,Universidad Nacional de Lomas de Zamora - Facultad de Ciencias Sociales - Licenciatura en Alto Rendimiento Deportivo,Lomas de Zamora,Buenos Aires,Complejo Univ. - Juan XXIII y Ruta Provincial,B1832LEA,(0343) 4245883 / 4248740 / 4344382,,-34.76438251,-58.397632
34,CAF,"Instituto Municipal Superior de Educación y Tecnología ""Dr. Emilio F. Mignone""",Luján,Buenos Aires,Avellaneda Nº 1389,B6700BGM,(0342) 4560993 / 4566264,"institutomignone@lujan.gov.ar, institutomignone@yahoo.com.ar",-34.57302307,-59.10955335
35,CAF,"Instituto Superior del Profesorado de Educación FIsica ""Club A. Quilmes""",Mar del Plata,Buenos Aires,Av. Luro Nº 3868,B7600GUR,(0341) 4495963 / 4473580,profesorado@clubquilmes.org.,-37.9921196,-57.5589824
