Nombre;Origen del financiamiento;Provincia;Localidad;Cantidad total de camas
HOGAR GERIATRICO;Público;Buenos Aires;17 de Agosto;12
UNIDAD SANITARIA 17 DE AGOSTO;Público;Buenos Aires;17 de Agosto;6
CENTRO MEDICO QUIRURGICO;Privado;Buenos Aires;25 de Mayo;4
GERIATRICO RENACER SA;Privado;Buenos Aires;25 de Mayo;0
HOSPITAL SUBZONAL SATURNINO E. UNZUE;Público;Buenos Aires;25 de Mayo;75
HOGAR GERIATRICO;Público;Buenos Aires;30 de Agosto;19
HOSPITAL MUNICIPAL 30 DE AGOSTO;Público;Buenos Aires;30 de Agosto;42
HOSPITAL MUNICIPAL DR. FRANCISCO EGUIGUREN;Público;Buenos Aires;30 de Agosto;20
CLINICA INDEPENDENCIA;Privado;Buenos Aires;9 de Julio;35
CLINICA INTEGRAL DE LA VISION;Privado;Buenos Aires;9 de Julio;2
CLINICA PRIVADA OESTE DE 9 DE JULIO;Privado;Buenos Aires;9 de Julio;33
CLINICA PRIVADA OFTALMOLOGICA 9 DE JULIO;Privado;Buenos Aires;9 de Julio;2
GERIATRICO;Privado;Buenos Aires;9 de Julio;0
GERIATRICO ( CALLE SANTA FE Y R. RAMOS);Privado;Buenos Aires;9 de Julio;0
HOGAR DE ANCIANOS MUNICIPAL SANTO DOMINGO DE GUZMAN;Público;Buenos Aires;9 de Julio;67
HOGAR DEL SOL;Privado;Buenos Aires;9 de Julio;30
HOGAR GERIATRICO FAMILY;Privado;Buenos Aires;9 de Julio;31
HOSPITAL SUBZONAL GENERAL DE AGUDOS JULIO DE VEDIA;Público;Buenos Aires;9 de Julio;98
RESIDENCIA GERIATRICA DON JESUS;Privado;Buenos Aires;9 de Julio;0
RESIDENCIA SANTA LUCIA HOGAR GERIATRICO;Privado;Buenos Aires;9 de Julio;48
RESIDENCIAL 9 DE JULIO;Privado;Buenos Aires;9 de Julio;59
SISTEMA DE SALUD MENTAL 9 DE JULIO;Privado;Buenos Aires;9 de Julio;0
CLINICA PRIVADA ASOCIACION MUTUAL COMUNITARIA  A. G. CHAVES;Privado;Buenos Aires;Adolfo Gonzales Chaves (Est. Chaves);20
CLINICA Y MATERNIDAD PRIVADA GONZALEZ CHAVES;Privado;Buenos Aires;Adolfo Gonzales Chaves (Est. Chaves);20
HOSPITAL LOCAL GENERAL ANITA ELICAGARAY;Público;Buenos Aires;Adolfo Gonzales Chaves (Est. Chaves);62
ASOCIACION AMIGOS DE LA ANCIANIDAD;Privado;Buenos Aires;Alberti (Est. Andrés Vaccarezza);39
CENTRO MEDICO ALBERTI DE DIAGNOSTICO Y CIRUGIA DE CORTA ESTADIA;Privado;Buenos Aires;Alberti (Est. Andrés Vaccarezza);13
HOSPITAL MUNICIPAL NUESTRA SEÑORA DE LA MERCED;Público;Buenos Aires;Alberti (Est. Andrés Vaccarezza);37
INSTITUTO MEDICO DR. ROBERTO A. VACAREZZA;Privado;Buenos Aires;Alberti (Est. Andrés Vaccarezza);51
COMUNIDAD TERAPEUTICA LIGUEN;Privado;Buenos Aires;Alejandro Petión;30
HOGAR DE ANCIANOS FACUNDO QUIROGA - VIRGEN DE LUJAN;Privado;Buenos Aires;Alfredo Demarchi (Est. Facundo Quiroga);0
HOSPITAL MUNICIPAL DR. MANUEL ARCE;Público;Buenos Aires;Alfredo Demarchi (Est. Facundo Quiroga);8
HOSPITAL QUIROGA;Público;Buenos Aires;Alfredo Demarchi (Est. Facundo Quiroga);8
RESIDENCIA TERCERA EDAD QUIROGA;Privado;Buenos Aires;Alfredo Demarchi (Est. Facundo Quiroga);17
CLINICA CENTRO MEDICO NEUROPSIQUIATRICO (M);Privado;Buenos Aires;Almirante Brown (Adrogué);431
CLINICA DE REPOSO ADROGUE (M);Privado;Buenos Aires;Almirante Brown (Adrogué);0
CLINICA ESPORA;Privado;Buenos Aires;Almirante Brown (Adrogué);96
CLINICA I.M.A. SA;Privado;Buenos Aires;Almirante Brown (Adrogué);51
EL RINCON DE LOS ABUELOS;Privado;Buenos Aires;Almirante Brown (Adrogué);9
GERIATRICO LA QUINTA II;Privado;Buenos Aires;Almirante Brown (Adrogué);15
HOGAR GERIATRICO;Privado;Buenos Aires;Almirante Brown (Adrogué);20
HOGAR GERIATRICO EL CEIBO;Privado;Buenos Aires;Almirante Brown (Adrogué);21
HOGAR GERIATRICO LA QUINTA;Privado;Buenos Aires;Almirante Brown (Adrogué);33
HOGAR GERIATRICO Y DE DIA LOS CEREZOS;Privado;Buenos Aires;Almirante Brown (Adrogué);74
HOGAR LA DIAMELA (G);Privado;Buenos Aires;Almirante Brown (Adrogué);92
HOGAR SAN GENARO;Privado;Buenos Aires;Almirante Brown (Adrogué);20
HOSPITAL SUBZONAL ESPECIALIZADO EN REHABILITACION DR. JORGE;Público;Buenos Aires;Almirante Brown (Adrogué);64
HOSPITAL ZONAL GENERAL AGUDOS DR. LUCIO V. MELENDEZ;Público;Buenos Aires;Almirante Brown (Adrogué);228
RESIDENCIA GERIATRICA EREZCANO;Privado;Buenos Aires;Almirante Brown (Adrogué);0
RESIDENCIA GERIATRICA LUNA AZUL;Privado;Buenos Aires;Almirante Brown (Adrogué);0
RESIDENCIA GERIATRICA MAR AZUL;Privado;Buenos Aires;Almirante Brown (Adrogué);15
RESIDENCIA GERIATRICA RO-NAR;Privado;Buenos Aires;Almirante Brown (Adrogué);0
SHAKIN (G);Privado;Buenos Aires;Almirante Brown (Adrogué);20
GERIATRICO LLAR;Privado;Buenos Aires;Almirante Brown (Burzaco);22
HOGAR GERIATRICO AMANECERES;Privado;Buenos Aires;Almirante Brown (Burzaco);39
HOGAR GERIATRICO CASA GRANDE;Privado;Buenos Aires;Almirante Brown (Burzaco);18
HOGAR GERIATRICO SAN ANTONIO;Privado;Buenos Aires;Almirante Brown (Burzaco);12
